Name,Description,link,Quantitiy,Price
NiceNano_V2,Microcontroller controls the keyboard and wireless connection,https://www.amazon.eg/-/en/NRF52840-Development-Board-Supermini-Compatible/dp/B0GDVKM9BW,2,16.16
3.7V 1000mAh 102050 LiPo Battery Pack,Lithum rechargeable battery for main keyboard,https://www.amazon.com/battery-Rechargeable-Lithium-Polymer-Connector/dp/B0GHR4GJK8,2,15
JST 2.0mm 2-Pin Connector ,For battery connection,https://microohm-eg.com/jst-2-0mm-2-pin-connector-right-angle-male-header/,1,0.019
Mx cherry brown,Mx switches for keyboard,https://mechanicalkeyboards.com/products/cherry-mx-brown-55g-tactile?variant=47599148695852,80,22.29
Diodes,Diodes for keyboard matrix,https://store.fut-electronics.com/products/diode-1n4001-1a-50v?variant=1016428691,80,1.54
Oled screen,Oled display ,https://www.ram-e-shop.com/shop/oled-0-96-4pin-oled-0-96-4pin-lcd-display-module-i2c-iic-communicate-7772,2,6.16
M3 screws 20mm,Hold and connect part of soup numpad,https://www.amazon.eg/-/en/20mm-Allen-Socket-Head-Screws/dp/B08GY7W4PH,1,4.91
M3 screws 16 mm,For holding PCB in numpad and enclosure in Keyboard,https://www.amazon.eg/-/en/Socket-Screws-Stainless-Thread-Bright/dp/B08GLK1VCX,1,7.62
M3 screws 12 mm ,Holding parts together,https://www.amazon.eg/-/en/Screws-City-12mm-Allen-Socket/dp/B08GY9YFYC,1,4.41
heat insert,Holder for screws,https://ampere-electronics.com/product/m3-knurled-brass-threaded-insert-nut/,16,1.28
Keycaps for keyboard,Keyboard keycaps,https://www.amazon.com/Keycaps-Doubleshot-Percent-Mechanical-Keyboard/dp/B0D1QKGH2G/ref=sr_1_1_sspa?sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY,….,18
3d priniting,,,6,91.23
PCB,Printing PCB,….,2,$120.84 
Total,….,….,,309.459
