Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D7, D8, D81, D82, D9",Diode_DO-35,65,~,
J1,OLED_128x64,1,OLED_128x64,
J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02_Pin,
ON1,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT,
SW1,MX_PCB_1.00u,1,Esc,
SW10,MX_PCB_1.00u,1,8,
SW11,MX_PCB_1.00u,1,9,
SW12,MX_PCB_1.00u,1,0,
SW13,MX_PCB_1.00u,1,-,
SW14,MX_PCB_1.00u,1,=,
SW15,MX_PCB_1.50u,1,Tab,
SW16,MX_PCB_1.00u,1,Q,
SW17,MX_PCB_1.00u,1,W,
SW18,MX_PCB_1.00u,1,E,
SW19,MX_PCB_1.00u,1,R,
"SW2, SW52",MX_PCB_1.00u,2,.,
SW20,MX_PCB_1.00u,1,T,
SW21,MX_PCB_1.00u,1,Y,
SW22,MX_PCB_1.00u,1,U,
SW23,MX_PCB_1.00u,1,I,
SW24,MX_PCB_1.00u,1,O,
SW25,MX_PCB_1.00u,1,P,
SW26,MX_PCB_1.00u,1,[,
SW27,MX_PCB_1.00u,1,],
SW28,MX_PCB_2.00u,1,Backspace,
SW29,MX_PCB_1.75u,1,CASPLOCK,
SW3,MX_PCB_1.00u,1,1,
SW30,MX_PCB_1.00u,1,A,
SW31,MX_PCB_1.00u,1,S,
SW32,MX_PCB_1.00u,1,D,
SW33,MX_PCB_1.00u,1,F,
SW34,MX_PCB_1.00u,1,G,
SW35,MX_PCB_1.00u,1,H,
SW36,MX_PCB_1.00u,1,J,
SW37,MX_PCB_1.00u,1,K,
SW38,MX_PCB_1.00u,1,L,
SW39,MX_PCB_1.00u,1,;,
SW4,MX_PCB_1.00u,1,2,
SW40,MX_PCB_1.00u,1,',
SW41,MX_PCB_2.25u,1,eNTER,
SW42,MX_PCB_1.50u,1,\,
SW43,MX_PCB_2.25u,1,SHIFT,
SW44,MX_PCB_1.00u,1,Z,
SW45,MX_PCB_1.00u,1,X,
SW46,MX_PCB_1.00u,1,C,
SW47,MX_PCB_1.00u,1,V,
SW48,MX_PCB_1.00u,1,B,
SW49,MX_PCB_1.00u,1,N,
SW5,MX_PCB_1.00u,1,3,
SW50,MX_PCB_1.00u,1,M,
SW51,MX_PCB_1.00u,1,",",
SW53,MX_PCB_1.00u,1,/,
SW54,MX_PCB_1.75u,1,SHIFT,
SW55,MX_PCB_1.00u,1,UP,
SW56,MX_PCB_1.25u,1,CTRL,
SW57,MX_PCB_1.25u,1,FN,
SW58,MX_PCB_1.25u,1,WIN,
SW59,MX_PCB_6.25u,1,ALT,
SW6,MX_PCB_1.00u,1,4,
SW60,MX_PCB_1.00u,1,SPACE,
SW61,MX_PCB_1.00u,1,ALT,
SW62,MX_PCB_1.00u,1,CTRL,
SW63,MX_PCB_1.00u,1,LEFT,
SW64,MX_PCB_1.00u,1,DOWN,
SW65,MX_PCB_1.00u,1,RIGTH,
SW7,MX_PCB_1.00u,1,5,
SW8,MX_PCB_1.00u,1,6,
SW9,MX_PCB_1.00u,1,7,
U1,Nice_Nano_V2,1,Nice_Nano_V2,
