Designator,Mid X,Mid Y,Rotation,Layer
D1,238.815,-109.3925,90.0,bottom
D10,67.365,-109.3925,90.0,bottom
D11,72.1275,-128.4425,90.0,bottom
D12,95.94,-128.4425,90.0,bottom
D13,114.99,-128.4425,90.0,bottom
D14,134.04,-128.4425,90.0,bottom
D15,153.09,-128.4425,90.0,bottom
D16,172.14,-128.4425,90.0,bottom
D17,191.19,-128.4425,90.0,bottom
D18,210.24,-128.4425,90.0,bottom
D19,229.29,-128.4425,90.0,bottom
D2,219.765,-109.3925,90.0,bottom
D20,248.34,-128.4425,90.0,bottom
D21,267.39,-128.4425,90.0,bottom
D22,286.44,-128.4425,90.0,bottom
D23,257.865,-109.3925,90.0,bottom
D24,276.915,-109.3925,90.0,bottom
D25,295.965,-109.3925,90.0,bottom
D26,315.015,-109.3925,90.0,bottom
D28,74.50875,-147.4925,90.0,bottom
D29,100.7025,-147.4925,90.0,bottom
D3,200.715,-109.3925,90.0,bottom
D30,119.7525,-147.4925,90.0,bottom
D31,138.8025,-147.4925,90.0,bottom
D32,157.8525,-147.4925,90.0,bottom
D33,176.9025,-147.4925,90.0,bottom
D34,195.9525,-147.4925,90.0,bottom
D35,215.0025,-147.4925,90.0,bottom
D36,234.0525,-147.4925,90.0,bottom
D37,253.1025,-147.4925,90.0,bottom
D38,272.1525,-147.4925,90.0,bottom
D39,291.2025,-147.4925,90.0,bottom
D4,181.665,-109.3925,90.0,bottom
D40,322.15875,-147.4925,90.0,bottom
D41,357.8775,-147.4925,90.0,bottom
D42,79.27125,-166.5425,90.0,bottom
D43,110.2275,-166.5425,90.0,bottom
D44,129.2775,-166.5425,90.0,bottom
D45,148.3275,-166.5425,90.0,bottom
D46,167.3775,-166.5425,90.0,bottom
D47,186.4275,-166.5425,90.0,bottom
D48,205.4775,-166.5425,90.0,bottom
D49,224.5275,-166.5425,90.0,bottom
D5,162.615,-109.3925,90.0,bottom
D50,243.5775,-166.5425,90.0,bottom
D51,262.6275,-166.5425,90.0,bottom
D52,281.6775,-166.5425,90.0,bottom
