Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D2, D3, D4, D5, D6, D7, D8, D9",Diode_DO-35,17,1N4148WT,
J1,OLED_128x64,1,OLED_128x64,
J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02_Pin,
SW1,MX_PCB_1.00u,1,num,
SW10,MX_PCB_1.00u,1,5,
SW11,MX_PCB_1.00u,1,6,
SW12,MX_PCB_1.00u,1,1,
SW13,MX_PCB_1.00u,1,2,
SW14,MX_PCB_1.00u,1,3,
SW15,MX_PCB_2.00u,1,enter,
SW16,MX_PCB_1.00u,1,Del,
SW17,MX_PCB_2.00u,1,0,
SW18,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT,
SW2,MX_PCB_1.00u,1,/,
SW3,MX_PCB_1.00u,1,*,
SW4,MX_PCB_1.00u,1,-,
SW5,MX_PCB_1.00u,1,7,
SW6,MX_PCB_1.00u,1,8,
SW7,MX_PCB_1.00u,1,9,
SW8,MX_PCB_2.00u,1,+,
SW9,MX_PCB_1.00u,1,4,
U1,Nice_Nano_V2,1,Nice_Nano_V2,
