Designator,Mid X,Mid Y,Rotation,Layer
D1,182.35,-126.615,90.0,bottom
D10,201.4,-164.715,90.0,bottom
D11,220.45,-164.715,90.0,bottom
D12,239.5,-193.29,90.0,bottom
D13,220.45,-183.765,90.0,bottom
D14,201.4,-183.765,90.0,bottom
D15,182.35,-183.765,90.0,bottom
D16,194.67,-202.825,90.0,bottom
D17,224.17,-202.825,90.0,bottom
D2,201.4,-126.615,90.0,bottom
D3,220.45,-126.615,90.0,bottom
D4,239.5,-126.615,90.0,bottom
D5,239.5,-155.19,90.0,bottom
D6,220.45,-145.665,90.0,bottom
D7,201.4,-145.665,90.0,bottom
D8,182.35,-145.665,90.0,bottom
D9,182.35,-164.715,90.0,bottom
J1,203.997775,-86.577,0.0,top
J2,148.5,-253.45,0.0,bottom
SW1,177.27,-124.26,0.0,top
SW10,196.32,-162.36,0.0,top
SW11,215.37,-162.36,0.0,top
SW12,177.27,-181.41,0.0,top
SW13,196.32,-181.41,0.0,top
SW14,215.37,-181.41,0.0,top
SW15,232.255,-193.1,90.0,top
SW16,215.37,-200.46,0.0,top
SW17,186.77,-200.46,0.0,top
SW18,176.5,-262.5,0.0,top
SW2,196.32,-124.26,0.0,top
SW3,215.37,-124.26,0.0,top
SW4,234.42,-124.26,0.0,top
SW5,177.27,-143.31,0.0,top
SW6,196.32,-143.31,0.0,top
SW7,215.37,-143.31,0.0,top
SW8,232.255,-155.0,90.0,top
SW9,177.27,-162.36,0.0,top
U1,202.5,-240.59,180.0,top
